20 126
0 1 3369
0 2 1770
0 3 298
1 4 2698
1 5 1953
1 6 1929
5 7 3034
4 8 2576
7 9 1865
9 10 1890
10 11 1682
3 12 1223
1 13 3358
5 14 3319
14 15 1420
7 16 2266
4 17 2071
14 18 3006
9 19 2247
13 19 3113
9 4 68
1 11 1749
8 11 789
16 1 1908
16 17 1974
15 12 1180
14 13 311
8 6 2047
19 6 3123
5 15 2627
2 12 1005
5 4 2062
16 11 403
15 18 2373
13 2 1183
19 15 489
16 18 3349
18 3 2731
16 3 1102
6 7 3471
13 0 116
10 13 2073
6 9 732
1 10 2274
2 8 77
7 15 1718
0 18 1911
17 6 3549
13 4 641
15 1 2634
16 19 1115
2 11 1858
13 15 3297
14 0 392
17 9 443
13 8 3515
11 5 1270
8 9 3100
2 3 1808
1 17 2189
19 18 1596
18 2 2565
4 16 1189
3 1 1760
4 2 1004
1 19 148
12 1 335
13 16 2941
1 2 3312
10 3 891
12 14 1033
9 1 1385
14 8 193
13 18 2033
19 2 160
16 12 893
4 18 2941
7 2 1015
4 10 1442
4 15 3382
6 2 1367
7 14 1297
16 0 1791
11 7 122
9 16 3586
17 15 865
7 17 1546
2 14 79
4 6 2795
8 5 3280
15 9 3346
16 5 3421
6 16 2217
16 15 2208
13 9 2303
12 18 26
12 6 2720
0 4 1166
17 12 1743
6 11 294
8 17 3260
16 10 3439
5 12 884
7 12 362
3 19 922
2 9 3549
19 17 819
17 18 103
5 18 2041
10 18 2082
4 11 639
18 9 1476
14 10 556
12 19 252
13 5 2482
17 13 3521
0 11 1755
0 15 2462
4 14 29
16 8 930
3 6 1893
7 10 1929
7 19 1189
12 0 300
7 13 885
8 3 145
