20 59
0 1 1463
0 2 1799
0 3 3126
2 4 2137
0 5 1401
4 6 118
5 7 3135
2 8 1357
5 9 2219
2 10 416
5 11 827
10 12 2976
1 13 200
2 14 3369
11 15 2349
14 16 782
5 17 2602
8 18 2405
12 19 331
19 9 637
12 6 1072
8 12 2717
8 4 1677
9 18 2823
5 19 3293
5 1 2108
3 2 171
11 14 410
5 18 1504
16 15 791
11 18 867
19 10 3380
18 12 3109
12 7 1360
9 1 546
13 19 2528
15 3 2023
3 12 1615
17 1 1932
3 14 1476
16 13 1235
16 9 2695
19 4 1424
7 11 2531
6 0 2486
8 1 2274
9 3 840
16 1 3121
14 13 6
11 9 3401
19 18 1587
8 19 567
6 3 19
11 4 2894
14 5 314
10 5 2606
17 2 1230
11 10 2460
1 10 1593
