Configuration Load
    1         70386
    4         74302
   20         74440
   15         74726
    2         75258
   10         75696
    5         76034
   17         76375
   14         76510
   18         77451
    7         77465
    3         78063
   19         78248
   12         79832
   13         80624
    6         80738
   11         80829
    9         80844
   16         81657
    8         85448
Configuration Load
   16         56549
   18         56707
    2         57151
   19         60421
    4         60539
    9         60674
   20         61169
    1         61548
   11         61955
   15         63518
    3         63888
   13         64738
   12         64750
   17         65186
    7         65274
    6         65635
    5         65636
   14         65787
    8         67167
   10         69114
Configuration Load
    7         62093
   11         65041
    6         66380
   10         66499
    5         68636
    2         68734
    4         69040
    3         69549
    9         70020
    1         70945
    8         71362
   12         72105
Configuration Load
   12         64534
   20         66245
   10         66469
   11         67571
    7         68832
    4         69959
   14         70891
   16         71251
   15         71645
   13         73326
    9         73673
    2         73972
    5         74461
    3         75391
   17         76204
    1         76720
    8         76850
   19         76938
   18         79237
    6         80956
Configuration Load
    3         70953
   20         76616
    9         78619
    5         78721
   13         79784
    4         80404
   14         80883
   12         81035
   10         81332
   15         82020
    6         82385
   19         84014
    1         84290
    8         84862
   11         85547
   18         85663
   16         85955
    2         86410
   17         87992
    7         88722
Configuration Load
    1         80115
    2         81128
    3         81663
   15         83787
   19         83856
   12         83943
   10         84069
    8         84255
   13         84640
    5         85452
    6         85635
   18         85985
    4         86369
   11         88032
   14         88449
   20         89126
    9         89868
   16         89993
   17         90037
    7         90137
Configuration Load
    8         74922
   12         74936
   16         75110
    2         75236
    5         75537
   10         76095
   17         76181
    6         77534
   20         78394
   19         78489
    7         79004
   11         79591
    3         80274
   18         80907
   14         81268
    9         81536
   13         82352
    1         83679
   15         88479
    4         88735
Configuration Load
    9         86620
   18         88091
   19         88756
   17         89558
    4         91078
    5         92121
   16         92122
   20         92718
    7         92829
    2         92911
    1         93004
   15         93300
   10         93569
   12         94577
   13         94665
   11         94669
    6         95705
    3         96362
   14         97099
    8         98990
Configuration Load
   14         63886
    3         64297
   19         67910
    9         68424
   18         71281
   13         71288
    8         71375
    2         72200
   15         72352
   20         72524
   17         73233
   12         73478
    5         73489
   10         74077
   16         74182
    1         74745
    4         75582
    7         76791
   11         76912
    6         77352
Configuration Load
    2         75473
    1         79264
