Configuration Load
   10         8406
   19         8659
    7         8900
    3         9175
    8         9204
   15         9661
    4         9746
    6         9852
   16         9989
   12         10192
   17         10505
   11         10538
   20         10553
   18         10729
   14         10852
    9         11009
    1         11068
    2         11330
   13         12066
    5         12113
Configuration Load
    9         11726
   15         11766
    7         12043
   11         12526
    6         12627
   14         12757
   10         12885
    4         12943
    3         12970
   12         13097
    2         13472
   16         13566
   19         13789
    5         13953
    1         14094
   17         14427
   20         14560
    8         14894
   13         14906
   18         16299
Configuration Load
   16         8574
    2         9187
    5         9289
   18         9488
    7         9743
   17         9762
    9         9777
   13         10203
   20         10347
   15         10535
    6         10554
   19         10744
    4         10780
   10         10867
    8         10982
   11         11286
   12         11300
    3         11487
    1         11638
   14         11743
