Configuration Load
    7         80004
    2         80645
    9         81370
    6         82776
    4         82807
    8         83482
    3         86542
    5         86906
    1         92823
Configuration Load
   14         81554
   10         81777
   12         82935
    5         83090
   15         83108
    9         83231
    1         83347
   19         85661
   11         85724
    3         86584
   13         87466
    4         87505
    8         87666
   18         88291
    2         88324
   17         89053
    7         89158
    6         89276
   16         92884
   20         93147
Configuration Load
   11         61361
    5         63315
   17         64327
    3         64891
   15         66075
   14         66358
    8         68525
   12         68595
    4         71272
   16         71422
    2         72131
   19         72928
    6         72955
   10         73032
   18         74292
   13         75648
    7         75926
    1         76650
   20         77145
    9         78275
Configuration Load
    8         73115
    3         81301
   13         81578
    6         81848
    7         83211
   12         86068
   11         86154
    2         86231
    5         86505
   10         86571
    4         88487
    9         88632
    1         94121
Configuration Load
   16         69920
   11         70378
    8         71254
   14         72714
    5         73619
   10         73736
    6         74193
    3         74403
   15         75197
    9         75231
   17         75454
    2         75741
   18         76957
    7         77224
    1         77385
   12         77481
   13         78073
    4         80532
Configuration Load
    3         71305
    2         74665
    1         79525
Configuration Load
    2         73327
   14         73493
   12         74682
   16         75833
    4         77157
   11         78186
    3         78251
    8         78753
    9         79177
   15         80741
   13         81019
   20         81269
   19         82186
   18         82293
    6         83978
   17         84020
    7         84165
    1         84580
   10         85509
    5         87703
Configuration Load
   11         72963
   20         74659
   12         77925
   15         78716
    2         79283
    8         79691
    9         79999
    5         80530
    1         80942
   14         80981
   13         81961
    7         82383
   17         83856
   16         85202
    6         85410
   18         86231
    4         88435
   19         89329
   10         90476
    3         91151
Configuration Load
    7         66888
   15         71012
    6         71863
   14         72364
    8         72541
    1         73656
    3         74302
    5         74418
    9         75382
   16         75417
   11         76011
    2         76786
   12         76807
   13         78449
    4         78516
   10         81365
Configuration Load
   13         65701
    3         71526
    8         74087
    2         75410
   18         75773
   19         76397
   14         76850
   15         77727
   16         78263
   17         78384
   11         78435
    6         78679
    7         79663
   10         79710
    4         80061
    9         81256
    5         83889
   12         85167
   20         85616
    1         87091
