Configuration Load
   11         7819
   17         8116
   13         8285
    2         8691
   20         8721
    3         8754
   18         8996
   15         9061
    1         9187
    9         9215
   14         9574
    7         9686
   12         9786
    5         9850
    8         9962
    6         10002
   10         10198
   19         10222
    4         10430
   16         10502
Configuration Load
    3         12081
   10         12084
   15         12153
    5         12484
   13         12550
   14         12585
   18         12790
    7         12979
    9         13206
   17         13628
   12         13859
   19         13982
   16         14253
    1         14327
    2         14337
   11         14415
    6         14887
   20         15157
    4         15457
    8         16009
Configuration Load
    2         6899
    7         7410
   11         7888
   19         7888
    8         8542
   13         8659
    9         8726
    1         8838
   20         9040
    6         9276
   15         9301
   12         9374
   14         9504
   10         9820
   16         9850
    4         9958
   18         10475
   17         10544
    5         10731
    3         11282
Configuration Load
   11         6365
    3         7004
   15         7088
    1         7229
   18         7507
    9         7672
    6         7831
    8         8095
   10         8109
    5         8211
    4         8314
   17         8345
   14         8406
    2         8424
    7         8473
   16         8529
   20         9069
   12         9171
   19         9229
   13         9501
Configuration Load
    2         9235
    1         10406
    3         11037
    9         11057
    5         11308
    4         11541
    8         11686
    6         11913
    7         12225
   10         12430
Configuration Load
    9         9173
   12         9241
   17         9603
    1         9777
    3         9813
   10         10023
   20         10185
    7         10191
   16         10287
   19         10433
    6         10445
   14         10591
   15         10611
    4         10709
   18         10737
   13         10867
    8         11067
    2         11897
    5         12795
   11         13323
Configuration Load
   10         6477
    9         6669
    3         6900
   14         7150
    6         7510
    1         7549
    4         7630
    7         7721
   12         7751
   13         7758
   15         7981
   16         7987
   19         8088
   11         8238
   20         8244
   18         8281
   17         8437
    5         8731
    2         8798
    8         9647
Configuration Load
    6         5806
   17         7200
   11         7324
   16         7447
    4         7675
   20         7727
   13         8019
   10         8094
    8         8373
   12         8397
   14         8414
    2         8470
    3         8584
    9         8798
    5         8854
    1         8894
    7         8894
   15         9526
   18         9820
   19         9836
Configuration Load
    5         10479
    1         10514
    4         10623
    6         11306
    7         11422
    3         11471
    2         11825
Configuration Load
    3         5565
   20         5867
    2         6583
    5         6682
   13         6915
    6         7213
   12         7563
   18         7700
   19         7951
    4         8050
   14         8165
    9         8186
   10         8265
   17         8335
   11         8399
    8         8593
    7         8729
    1         8932
   16         9045
   15         9618
