Configuration Load
   10         10121
   13         10263
    3         10301
    6         10627
    4         10810
   20         10886
   14         10899
    1         10912
    5         11094
    7         11094
   12         11330
    2         11434
   11         11438
   17         11471
   18         11581
   19         11610
   15         11877
    8         12080
   16         12213
    9         13033
Configuration Load
    2         13156
    1         13479
Configuration Load
    6         8807
   17         9004
    8         9012
   15         9060
    9         9140
    3         9166
   14         9252
   19         9255
    7         9263
   12         9531
   18         9605
   11         9848
   10         9996
   16         10069
   13         10084
    2         10134
   20         10178
    4         10364
    5         10652
    1         10776
