Configuration Load
   19         997751
    3         998539
   12         1002215
    5         1008036
    4         1017221
    2         1027473
   10         1028605
   11         1029692
    8         1032944
   13         1034465
    1         1042409
   14         1044899
   17         1046574
   15         1048791
   20         1049947
    7         1050109
    6         1054393
   16         1055368
   18         1060582
    9         1093115
Configuration Load
    5         947735
   19         958211
   14         958282
   16         958516
    7         964995
    3         966660
    6         967910
   10         975886
    2         979971
   13         987009
   20         989879
    9         993394
    4         996515
   12         998830
   11         999356
   15         999710
    1         1005562
    8         1005984
   17         1009703
   18         1011477
Configuration Load
    1         941566
    3         955203
    4         958871
    6         967111
    9         970730
    7         979769
    5         980426
    8         982620
    2         990158
Configuration Load
    6         913732
   12         916731
    7         926423
    3         927716
   14         928622
   20         940505
   19         948450
    2         949747
    5         951588
    8         955413
   16         960447
    4         962864
   10         963107
   18         980915
   17         983685
   11         984017
    9         984325
    1         989298
   13         992199
   15         1001584
Configuration Load
   19         1003422
    1         1005730
    6         1016730
   11         1026753
   10         1028059
   13         1028078
   12         1036603
    5         1037294
   14         1037708
    3         1039956
    2         1041788
   18         1042396
   17         1048864
   15         1049588
   16         1051724
    9         1053859
    4         1054929
    8         1056181
    7         1070238
   20         1101240
Configuration Load
   10         944586
   13         956516
    1         969618
   15         974210
    4         978362
   16         978453
    8         990333
   20         997233
    5         999593
    6         1002050
   11         1002290
   19         1002323
   14         1003003
    2         1003786
    9         1004076
   18         1015660
   12         1018851
   17         1020929
    3         1021707
    7         1042595
Configuration Load
   19         916418
   16         930441
    4         942733
   20         951070
    1         951607
   18         953254
    3         955389
    9         957386
    2         960780
   12         960788
   13         967276
    7         967351
    5         972635
   11         978665
   10         981469
   14         986171
   17         989711
    6         999571
    8         1004526
   15         1008431
Configuration Load
   18         962704
   17         977600
   16         983531
   19         985646
    5         999107
    9         1000604
   14         1002010
    6         1005690
    1         1006380
    4         1007037
    7         1007140
   20         1008169
   11         1010552
    3         1011765
   15         1017861
    8         1025185
   10         1027458
    2         1032794
   12         1034406
   13         1050318
Configuration Load
   12         990113
   13         994693
    3         1001031
    8         1008843
   10         1009180
   15         1010086
   18         1016434
   14         1016913
   16         1023419
    7         1026711
    6         1035426
    9         1037309
    5         1037934
    2         1041407
    4         1045412
   19         1047497
   17         1052221
   11         1063949
    1         1064229
   20         1099172
Configuration Load
   16         993825
   17         1003576
   18         1003758
    6         1007065
    7         1007125
   12         1010088
   20         1018007
    3         1025079
    5         1028635
   19         1032652
   13         1035186
    1         1038723
   15         1041824
   14         1044311
    2         1046727
   10         1046787
   11         1054517
    4         1056257
    8         1059453
    9         1063239
