Configuration Load
   15         9789
    9         10234
    1         10284
   18         10451
   14         10464
   12         10586
   20         10823
    6         10891
   10         10906
   11         11019
   17         11164
   16         11208
   19         11551
    3         11691
    2         11907
   13         12007
    7         12200
    8         13307
    4         13598
    5         13603
Configuration Load
   17         11616
   15         11776
   20         12157
    6         12464
    4         12579
   18         12861
   12         13066
    2         13271
   19         13373
   11         13423
   13         13572
    1         13867
    7         13914
    9         13919
   16         14125
    5         14184
   14         14299
    8         14326
   10         14853
    3         14922
Configuration Load
    2         7254
    1         7814
