Configuration Load
    2         936385
   12         946827
   15         948973
   14         953095
   18         953463
    6         965824
    5         967474
    4         976772
    1         977682
    8         978071
    9         986454
   11         989398
   16         994024
    3         998610
   13         1000207
   17         1004112
   19         1004786
   10         1022582
    7         1024080
   20         1024352
Configuration Load
    3         1011228
    4         1014512
    2         1044950
    1         1058476
Configuration Load
   15         952225
    2         953087
    7         967167
    8         974269
   18         976709
    9         979822
    1         980371
    3         986575
   20         991683
    4         991934
    5         992465
   17         994622
    6         995243
   12         995435
   14         1002134
   10         1010449
   19         1013952
   11         1014071
   16         1014604
   13         1026126
Configuration Load
    6         979599
   14         990052
   17         991284
    1         996336
    4         997788
   13         998958
   10         999074
    8         1003345
    2         1004267
   16         1005772
   11         1016667
   15         1017460
    9         1018650
    7         1020648
   20         1021578
    3         1023110
   12         1027137
   18         1029616
    5         1032617
   19         1036054
Configuration Load
   17         925054
    9         947281
    3         951228
    2         956606
    6         960802
   10         961104
    8         962957
   13         967148
   14         969268
    4         978914
   16         980692
    1         984864
    7         985350
    5         985541
   18         990607
   19         992378
   20         992677
   11         993767
   12         1008174
   15         1009531
Configuration Load
   17         973194
   20         998617
    3         1003726
   13         1011721
   19         1015132
   12         1017413
    1         1021307
    9         1023944
   18         1024828
    8         1025087
    7         1037907
    2         1038390
    6         1043393
   14         1044164
   15         1046504
    4         1052589
    5         1055700
   10         1055919
   16         1056973
   11         1069464
Configuration Load
   13         929828
    6         930060
   18         933206
    4         933328
   20         933556
   15         935520
   12         936357
   19         937900
   14         942583
   17         942612
   16         947248
    5         947325
   11         954731
    3         957550
    2         958852
    7         976439
    8         976869
    1         979828
    9         986043
   10         991229
Configuration Load
    1         928680
    5         950233
    2         988124
    4         1007038
    3         1022147
Configuration Load
   17         1012314
    6         1016156
    4         1019284
   20         1020049
    2         1034812
   15         1035682
   14         1037793
   18         1039928
    1         1040863
   12         1045805
   10         1046132
   11         1046932
    3         1048381
   16         1048656
    9         1052261
   19         1058635
    5         1060918
    7         1062642
    8         1064714
   13         1087715
Configuration Load
    8         1011217
    3         1040078
    4         1049327
   12         1050197
    1         1052680
   10         1056073
   13         1056978
    7         1057022
    9         1058261
    2         1059013
    5         1064016
   11         1066239
    6         1069712
