Configuration Load
   12         912080
   17         923870
   18         932254
    2         933217
   16         934984
   19         935701
    5         940367
    6         945049
    9         946623
   13         948531
   11         948887
   10         949929
    8         955731
    1         956486
   20         960947
    4         963008
   14         969203
   15         976376
    3         982466
    7         994486
Configuration Load
    5         920288
   12         924748
   19         926535
   16         937550
   13         944839
   15         945892
    2         951790
   18         952684
   10         953638
   14         960280
    4         961976
    7         962393
    8         966839
    9         969252
   11         969607
    1         969824
    6         973851
   17         979444
    3         983009
   20         983556
Configuration Load
    9         940024
   16         940755
    8         969138
   14         974663
   11         975108
    7         975260
    3         975621
   18         983430
    6         984477
   13         990403
    5         992709
   19         995943
   20         1005202
    1         1010469
   12         1011195
    2         1015388
    4         1015809
   15         1027788
   17         1029132
   10         1033079
Configuration Load
   20         900603
   18         903053
   16         909392
    8         929827
    7         930409
    3         943344
    4         943462
   10         945850
   11         947242
    6         947566
    9         951525
    2         951941
   13         954362
    1         954938
   15         955414
   14         964458
   17         968139
   12         968765
    5         970057
   19         973284
Configuration Load
   15         944868
    8         962314
   19         963224
   18         964161
    1         966484
    5         978764
   13         981753
   11         983650
    7         987472
   10         987833
    2         989748
   20         990015
    4         992929
   16         995229
    9         1005768
    6         1009122
   17         1022926
   12         1024984
   14         1026702
    3         1030706
Configuration Load
    2         960689
   16         962789
   19         962891
   17         978575
   12         979976
    6         981125
    3         982499
   15         1000212
    4         1004043
   13         1005121
   11         1006022
   20         1009657
   14         1012679
    8         1013993
   18         1015612
    9         1018673
    1         1024484
    5         1030638
   10         1034936
    7         1039436
Configuration Load
   12         972078
   14         978685
   10         979266
   20         989643
   13         991105
    4         996694
    1         997259
   16         1005866
   15         1014585
    3         1015908
    6         1017081
   11         1018426
    5         1018711
    9         1020461
   18         1020647
    7         1026214
   17         1034089
    8         1037340
    2         1041549
   19         1043100
Configuration Load
   15         869177
    1         878160
    9         878609
    3         881224
   18         889728
    7         895134
   12         898032
    8         898945
   19         907032
   20         912155
   11         912553
   10         915052
    4         917234
    6         918620
    5         924019
    2         926412
   14         929512
   13         932145
   17         942833
   16         960185
Configuration Load
   13         949907
   16         981982
   15         982648
    1         988381
   10         993524
    9         996708
    2         1001181
    6         1007300
    3         1011701
    7         1011759
    8         1014305
   12         1020591
   11         1027404
    5         1029265
   14         1031724
    4         1039427
Configuration Load
   11         964166
   20         967903
   14         976192
   15         977543
   17         980036
    9         988374
   12         992919
   13         994715
    8         1001233
    2         1001317
    3         1004315
   19         1009519
    7         1010541
   16         1014042
   10         1015658
    4         1022872
    5         1023080
   18         1025559
    1         1032229
    6         1041142
