Configuration Load
    3         59289
    2         62112
    5         63508
    6         65376
   17         66379
   20         68364
   11         68513
   19         68547
    4         68595
    9         68635
   14         68710
    1         69545
    7         70319
    8         71233
   16         71796
   18         73634
   10         74144
   12         74823
   15         75460
   13         76318
Configuration Load
   16         67493
   10         71418
   18         71833
    7         71900
    2         72355
    3         72834
    4         74109
    6         75415
   14         75513
   20         75695
   15         77292
    9         77468
   12         78140
   11         78712
   13         78779
   19         79430
    1         79862
    5         81112
    8         81442
   17         83220
Configuration Load
   20         76002
    8         76649
    9         78377
    7         78726
    1         78729
   11         79313
    4         80046
   12         80370
   14         80880
   19         81706
   10         81925
    5         81983
    6         82853
   15         83016
   17         83371
   18         83670
   13         84061
    2         85785
   16         86608
    3         87418
Configuration Load
    6         65715
    5         68731
    8         69028
    2         72232
    7         73056
    4         73814
    1         74992
    3         75593
    9         79279
Configuration Load
   20         69543
   17         71561
   15         71751
   19         71791
   16         72645
    1         73165
   13         73822
   14         73861
    9         74954
    4         75212
    8         75531
    3         75760
   18         75893
    2         77964
    6         78886
   11         78945
    7         80182
    5         80683
   12         82521
   10         83854
Configuration Load
    3         79955
   13         80619
    5         83170
   16         83179
   10         83692
   12         84381
    7         85412
   18         86530
   11         86977
    4         87116
    8         88220
   17         89039
   19         89324
    1         89620
    2         89659
   14         89774
    6         90214
   15         90810
    9         93102
Configuration Load
    4         75004
   14         75244
   16         76553
   17         79102
   11         80573
   15         80710
    5         81141
   18         81673
    9         81750
   10         82128
    1         83436
   13         84171
   12         84284
    8         84831
    2         85326
    3         86134
    6         86323
    7         86663
   20         86722
   19         86967
Configuration Load
   17         77207
    3         77684
   20         78354
    7         78414
   11         80778
    5         80794
    1         82815
   12         82937
   16         83207
    6         84671
   18         84729
    8         85649
    2         85679
    9         85877
   14         86316
   19         86741
   10         87685
   13         87811
    4         88597
   15         92440
Configuration Load
    3         65975
   16         69933
    9         70220
   17         72369
    5         73333
   14         75692
    4         75921
   19         76028
    8         76345
   18         76389
    6         76665
   15         76706
    7         76897
    1         77197
   10         80569
   12         82285
   20         83004
   11         84903
    2         86177
   13         87726
Configuration Load
    3         61576
   19         62440
    1         63095
   18         63394
   11         64838
   17         64939
    6         65192
    5         65273
   15         65608
   12         65821
    7         67156
    2         67505
    9         67995
   13         68590
   14         69757
   16         70238
    4         70317
   10         70354
   20         70785
    8         73216
