Configuration Load
   12         344444
    1         347600
   18         352111
   14         354573
   16         356940
    4         357889
    3         360352
   10         365736
    5         366318
   20         366909
    6         370412
   11         372097
   13         373149
    2         373863
   15         377222
    9         378818
    8         378942
    7         379122
   19         383908
   17         384521
Configuration Load
   12         336603
    3         338925
    5         342136
   15         346013
    8         353538
   18         356089
    2         357092
   20         358914
    7         359479
    6         361568
   13         362388
    9         362893
   10         365388
   16         366966
    4         370071
   14         373177
   19         373355
    1         374123
   17         376908
   11         379020
Configuration Load
   18         335252
    2         340767
   17         342044
   20         342343
    9         342408
   14         343753
    8         345371
   15         347693
   12         348007
    6         348183
    5         353287
    1         354032
   19         354399
    7         354741
   16         359372
    3         360017
   13         362843
    4         364454
   10         373660
   11         389815
Configuration Load
   18         350451
    8         351548
   13         355713
   15         356291
    3         361364
   16         363734
   11         364249
   12         365382
    4         365914
   14         368510
    9         371567
    7         371683
    2         371804
    5         372009
   19         372434
   20         374538
    6         375662
   10         376551
    1         379127
   17         390767
Configuration Load
    1         374490
Configuration Load
    4         343046
    2         351722
    5         356995
    1         361323
   11         362524
   13         366808
    3         367522
   10         370493
   20         375597
   18         378112
    6         380434
   14         380623
    9         380947
    8         382305
   19         382682
   16         383770
   12         387004
   15         390682
    7         391168
   17         393992
Configuration Load
    1         354472
   19         357759
   17         367536
   13         367755
    7         369640
   14         371612
    5         373563
   20         375704
   18         377053
    3         377355
    6         378498
   11         379229
   15         383721
    9         384210
    8         386163
    4         388833
    2         390722
   10         390829
   12         394317
   16         403777
Configuration Load
    3         357360
    5         367145
    6         371503
   13         375354
    1         375423
   11         378665
    9         380464
   10         380583
   12         381173
    4         381446
   15         383595
    8         386754
   17         388994
    2         389510
   14         391181
    7         392777
   16         395286
Configuration Load
    1         358571
Configuration Load
    4         359794
   20         361933
   15         367721
   13         368381
    8         368830
    6         372209
   18         373735
   11         375527
    1         376028
    9         376439
    7         378160
    2         380920
   12         384713
    5         385275
   10         386587
   19         391614
   17         392361
   16         393041
    3         393372
   14         409509
