Configuration Load
    8         9685
   17         9868
   19         9908
    1         10566
    2         11083
    9         11121
   20         11368
    3         11657
   13         11666
   18         11713
   10         11827
   12         12154
   11         12311
   16         12599
    4         12784
    7         13106
   15         13129
   14         13586
    5         14181
    6         14224
Configuration Load
   12         7022
    9         7033
    8         7231
   10         7410
    5         7449
    2         8057
   14         8428
    4         8486
    3         8770
   11         8872
    7         9128
   19         9234
   18         9390
    6         9435
   13         9451
   16         9631
   17         9947
   15         10431
    1         10586
   20         10615
Configuration Load
    6         13448
    5         13546
   20         13808
    3         13857
   10         13896
   14         13921
    7         14009
   15         14062
   16         14107
   12         14203
   13         14303
   11         14638
   17         14679
    1         14752
    4         14819
   19         14855
    8         14965
    9         15233
   18         15822
    2         16492
