Configuration Load
    6         376823
   19         378863
    3         381374
    8         382918
    2         383607
   16         386921
   20         387045
    1         389419
   10         390127
   14         393907
    5         395565
   11         395819
    9         397698
   18         399135
   13         404038
   12         407461
    7         408950
   15         409168
    4         410609
   17         415341
Configuration Load
   13         333668
   14         353400
   17         356447
    3         357666
    5         357686
   16         358060
    2         360073
    8         360943
    4         363075
    7         364605
   12         365063
   10         366223
   18         366833
   15         368802
   11         373493
    9         374991
   19         376236
    1         376340
    6         376415
   20         378324
Configuration Load
    9         374707
   18         375465
   12         377334
   20         380868
   14         383891
    4         385062
    2         385104
    6         387327
   16         388239
   17         393806
    8         396826
    7         397203
   15         397891
   10         397892
   13         398888
   11         399123
    1         406470
    3         413678
    5         417058
   19         422072
Configuration Load
    6         331014
    3         331940
   20         336433
    2         339502
   12         342582
    9         345964
   16         346309
   11         346444
    8         347028
    1         347207
    4         347607
   19         349899
    5         349915
   10         351111
   18         351491
   14         355085
    7         357514
   15         357549
   13         360457
   17         372683
Configuration Load
    7         354367
    2         358588
   17         359262
    8         362122
   15         363470
   11         364594
    3         368203
    5         368711
   18         370119
    1         371608
   13         371654
   19         374220
    4         375062
   20         377600
   10         377966
   14         378301
    6         378858
    9         380120
   16         380584
   12         388601
Configuration Load
   14         356303
   12         357829
    6         360519
    1         367366
   15         367955
    7         367985
   10         369722
   11         370080
    3         370902
   13         376069
    8         377657
   18         377703
    2         380098
   16         380416
   19         381359
    9         382740
    4         383183
   17         385589
    5         386584
   20         389631
Configuration Load
    3         343704
   11         346327
    4         346527
    1         347981
    9         349895
   19         352195
   17         352306
    6         352778
    5         356750
    7         357431
   12         358368
   15         360476
   20         360799
   14         361760
   13         363238
   10         363961
    8         364052
    2         369101
   16         372769
   18         376408
Configuration Load
   11         341900
    6         344026
   15         344371
   12         346686
   16         347314
   18         348901
   10         350639
   13         351966
    9         353061
   14         353341
    4         354178
    2         357533
    3         357915
    5         358859
   17         360134
    7         360606
   20         362903
    8         363220
    1         368307
   19         372206
Configuration Load
   20         367949
    1         374658
   10         381654
   19         384030
   15         385319
    5         386144
    7         386615
   17         388448
    3         391324
    9         393258
   14         395806
   18         396115
   11         396855
    2         397599
    4         401736
   13         409026
    6         413325
   12         414448
   16         415497
    8         419078
Configuration Load
    9         361132
   18         363010
    2         363566
   11         363712
   15         364101
    3         364208
   20         367161
   17         370922
    1         371124
   19         371443
   10         373431
    7         373771
   12         376798
   16         378607
    4         379732
   13         379736
    5         380550
   14         383234
    8         384018
    6         389904
