Configuration Load
    8         340901
    5         342042
   11         342399
   10         342943
    2         349144
   14         354828
   13         354839
   19         355185
   16         355881
    1         358609
    6         361452
   18         362881
   12         364181
   17         364533
    9         367227
   15         368957
    7         370559
   20         373607
    3         374725
    4         375007
Configuration Load
   15         346224
    8         348171
    5         352057
   18         354032
   17         357647
    3         360992
    1         361366
   10         363579
    7         363941
   16         365250
    6         365865
    4         368824
    2         369424
   11         370697
   12         375781
   13         379692
    9         382631
   19         384319
   20         384809
   14         389450
Configuration Load
    9         357178
   12         357488
   20         357564
    4         358985
   11         360284
   13         360732
    2         365193
   14         365284
    7         368028
   16         368504
   19         368582
   17         368718
   10         373649
    5         378035
    1         378180
    3         378520
    6         385338
   18         390710
   15         392346
    8         397519
Configuration Load
    1         312345
   13         324374
   10         325640
    8         328890
   20         330822
   18         331038
   19         332279
   11         333483
    3         334413
    2         335964
    6         339765
    7         340724
   15         341639
    5         344009
   16         344472
    4         345307
   12         352282
   17         354519
    9         355632
   14         362742
Configuration Load
    5         348424
   12         352464
   16         354157
    8         354586
    2         355421
    6         356690
    9         361962
    3         365059
    4         366174
   11         366882
   20         366886
   13         370953
   17         371158
   14         371234
   19         371523
    7         374030
   18         377550
   15         377610
   10         377960
    1         383202
Configuration Load
   16         345185
    5         355496
   17         355965
   11         356000
    7         356116
    1         357273
   14         358400
   10         358810
    8         360660
   20         362515
    6         363070
    4         365781
   18         367535
   12         371228
   15         375542
   19         378839
    3         381558
   13         384157
    9         387459
    2         390540
Configuration Load
    9         312344
   12         317054
   20         317347
   19         317706
   16         319103
   10         319915
   14         325199
    2         325621
   13         326139
   15         334666
   18         336043
    8         336105
   11         337082
    6         338511
    1         338928
    5         339278
    7         339708
   17         340723
    4         345510
    3         345544
Configuration Load
   19         354285
   17         360378
   10         361131
    8         361760
   20         362515
    7         367102
   18         367392
    4         367981
    2         370703
   15         372129
    9         372346
    3         372552
    1         375766
   11         377200
    5         379414
   16         380069
   14         384631
    6         389416
   13         393100
   12         394158
Configuration Load
   12         340621
   18         342803
    8         344457
    6         346500
    1         346948
    5         347347
   11         348912
   15         349659
    4         351686
   14         351927
   10         352136
   16         352569
   20         357164
    2         358247
    7         358960
   13         360075
    3         361295
   17         364219
    9         364817
   19         367033
Configuration Load
   20         349112
   11         350306
   15         350679
    5         352282
   14         354603
   18         357936
    6         358210
   16         360349
    2         360675
   13         361064
    1         362896
    8         364502
    3         365667
   19         367119
    4         368222
   17         373116
    7         374846
   10         380786
   12         383890
    9         385457
