Configuration Load
   13         953142
    4         961296
   14         971628
    3         976122
    5         978306
    7         978835
    1         979571
   16         982122
   12         986588
    2         988371
    8         989458
    6         992129
   20         995053
   10         995372
   17         996670
   11         998069
   18         1001206
    9         1004555
   19         1009377
   15         1048408
Configuration Load
    3         961048
    5         967615
   10         969622
    2         982534
    4         985810
    8         986442
   19         987734
   11         997651
   14         1002286
    9         1005505
   15         1005849
   16         1007592
   13         1007693
    6         1015606
   20         1017255
    1         1017662
   18         1022805
   17         1025642
   12         1028647
    7         1046799
Configuration Load
    4         1068504
   20         1077701
   14         1081773
    8         1081991
    9         1086510
    2         1090444
   13         1091726
   12         1093038
   19         1093133
   18         1093561
    5         1093728
    3         1109527
   17         1110052
   11         1116321
    1         1119428
    6         1120785
   10         1121237
    7         1122274
   16         1122763
   15         1144031
Configuration Load
    8         929343
   11         946100
   17         951315
    9         958202
   19         961430
   12         965270
    4         966420
    2         966840
    1         968707
   14         969965
    3         972567
   16         980793
    6         982012
   10         984896
    5         988677
    7         989675
   15         993135
   18         993297
   13         1002670
   20         1004548
Configuration Load
   13         972662
   18         992031
    4         1010612
    6         1013422
   16         1014630
   20         1015916
    9         1016153
   19         1019374
    1         1022049
   17         1022681
    7         1024954
   10         1030353
    5         1032483
    2         1033240
   15         1035096
    3         1035668
   14         1037124
   12         1041414
    8         1042140
   11         1058755
Configuration Load
    6         928607
   14         930614
    9         933707
    7         937944
   16         938739
    4         941079
   20         941672
    8         947337
    1         948084
    5         950372
    2         953769
   10         954234
    3         955997
   11         960156
   15         965912
   13         973427
   18         978206
   12         987204
   17         994254
   19         1013242
Configuration Load
   15         921352
    5         932937
   17         936819
   20         949365
    2         953087
    4         953224
   12         958251
    3         959024
    8         961750
    1         966112
   10         968342
   11         974193
    9         985860
   14         988098
   13         988431
   16         990647
   19         991484
    7         994651
   18         1008076
    6         1022437
Configuration Load
    3         991952
   15         997241
    8         1009911
   16         1011574
    6         1022022
   10         1029951
    4         1032321
   11         1033795
   13         1038647
    2         1044827
    5         1045085
   20         1050217
    1         1050886
   14         1054874
   12         1061454
    7         1062817
    9         1069141
   18         1073093
   17         1083952
   19         1110883
Configuration Load
   11         890575
   13         932995
   19         933537
   18         936597
    5         947712
   12         947860
   14         958453
    6         961565
    4         961712
   16         967490
   15         975591
   20         976342
    8         976562
    9         976826
    1         983108
    3         986630
    2         989357
   10         989820
    7         993088
   17         993862
Configuration Load
   10         937006
   20         954404
   11         957894
   16         959705
   19         961517
    2         963764
   15         967667
   14         976492
    1         976737
   17         977800
    3         983568
    7         992634
    9         992713
   12         996176
    4         998905
   18         1014291
   13         1014427
    8         1029377
    6         1030085
    5         1040619
