Configuration Load
    2         922152
   11         932484
    7         938178
   13         939007
   10         939050
    3         941291
    6         942997
    1         944393
    5         948002
   15         950280
    9         950300
    4         950429
    8         954394
   17         956809
   12         958191
   16         980670
   14         985429
Configuration Load
    2         978438
   19         986944
   16         1005312
    5         1008004
   15         1018247
    8         1019328
    9         1021598
   13         1021708
    3         1023393
    6         1030749
    1         1038967
    4         1039795
   20         1040779
   10         1046444
   18         1047671
   17         1048151
   14         1051875
   12         1056136
   11         1059084
    7         1071141
Configuration Load
   11         920351
   10         935769
   12         945448
    1         948536
   20         949591
    2         959295
   14         962904
    7         962944
   17         964359
    6         966213
   18         967158
    5         975387
   15         977326
    9         978129
   16         982615
   13         982757
   19         985652
    3         991796
    4         1001462
    8         1002871
Configuration Load
    8         943974
   12         945115
    7         945530
   19         948051
   17         955889
   11         956432
   15         965626
    1         966051
    5         966527
   20         968719
   14         979421
   10         987673
    4         989853
   18         993008
    6         996132
   16         1003938
    3         1005540
    2         1010334
    9         1019844
   13         1032884
Configuration Load
   18         987420
   11         988424
    8         989523
   10         995078
   16         1009446
   19         1012588
    4         1015869
   14         1020928
    5         1021720
   13         1025589
    9         1030033
    7         1031958
   12         1035150
   15         1037445
   17         1038188
   20         1041838
    2         1042314
    6         1043947
    1         1045700
    3         1052650
Configuration Load
    5         1019460
    7         1024379
    2         1026612
    1         1047999
    4         1055786
    8         1055786
    6         1062244
    3         1065608
Configuration Load
   15         863227
   14         866341
    2         882676
   16         888362
    1         892026
   10         892752
   12         894165
    9         896329
   18         897592
    3         899520
    5         903794
    8         904450
   20         909034
   19         915157
    4         915592
   13         917838
   17         920831
   11         921961
    6         931461
    7         942829
Configuration Load
    6         1015401
   17         1030772
   14         1046614
   15         1047134
   12         1048607
    5         1049956
   16         1051051
   10         1052809
    2         1054402
    3         1057979
    4         1058842
   13         1060426
   11         1062670
   18         1069643
    1         1085673
    7         1087441
   19         1089061
    8         1099524
   20         1103604
    9         1119358
Configuration Load
    4         923869
    8         925805
    2         933407
   16         933422
   19         933927
   18         936494
   15         938030
    7         939927
    3         947382
   11         948986
   12         949958
    1         949990
   20         952157
   14         954207
    9         958446
   17         960764
   10         962299
    6         963628
    5         973726
   13         974667
Configuration Load
    4         911701
    7         914280
   16         915643
    5         916208
    3         916432
   19         929872
   13         931881
   14         932204
   18         937174
   15         940550
    9         941247
   11         946348
   10         951302
   17         956026
   12         956119
    2         958000
   20         961632
    8         962430
    1         967191
    6         978497
