Configuration Load
   15         337725
   19         345275
   14         345436
    3         346534
   11         349593
    4         350026
   20         351516
   12         351719
   17         353017
   10         354728
    5         356063
    6         356352
    9         356775
    2         361390
   18         362606
    8         362883
   16         363456
    7         366968
   13         367177
    1         378673
Configuration Load
    9         349161
   16         350343
    3         360096
   15         362989
   13         364384
    8         365274
   19         366539
   11         369589
   14         370236
    5         370521
    6         370985
   20         373426
    4         374590
   10         376826
   17         376844
   12         377869
    2         380239
    1         381885
   18         388971
    7         392979
Configuration Load
   12         320014
   19         325658
    3         326139
   11         326182
    7         328173
    4         328569
   17         329601
    8         331741
   15         334168
    2         336986
   13         338089
   18         339369
   20         342633
    1         343589
    9         343867
    6         345205
   10         346837
   16         352779
    5         355888
   14         357747
Configuration Load
    7         358508
    8         361251
    2         363148
    5         365377
   18         366100
   15         367787
   16         368140
   12         368302
    9         369181
   17         371292
   11         374357
    3         376002
    1         376483
    6         376621
   20         378295
   13         381735
    4         383216
   10         385009
   14         385560
   19         386481
Configuration Load
   15         319323
   16         321284
   20         327294
    9         327520
    4         328052
   11         330012
    6         333848
   18         334231
   14         334998
    5         335835
   12         336110
    2         336336
    3         338524
   13         339747
    8         339831
   10         341069
    1         347065
   19         349695
    7         353901
   17         364149
Configuration Load
   11         357820
   19         371158
   20         371437
    1         372020
   10         373921
    7         373990
   15         374263
    6         375284
    8         377104
    3         377230
   16         380187
    4         382717
    5         383463
    2         384326
   14         385513
   13         388559
   12         390655
   18         391712
    9         392531
   17         392705
Configuration Load
   14         340788
   12         358203
   20         358521
   17         358611
    1         360520
   15         361750
    9         361954
   10         363734
    3         366645
   11         368471
    8         369208
    6         370975
   19         371153
    5         371200
    2         373242
   13         375334
   16         376012
    4         377193
   18         379877
    7         381683
Configuration Load
   19         340540
   10         352785
    6         363071
   11         363887
    3         364497
    8         366250
    1         370084
    5         370109
   16         370401
   20         371245
    2         372699
   17         374782
   14         374970
   18         377671
   13         378261
   15         383457
    9         383822
   12         386227
    4         387807
    7         401580
Configuration Load
   19         340303
    1         346621
   17         347286
    6         353972
   14         355042
   15         358905
    4         358918
   10         361644
    3         361818
   11         362925
    8         364562
   12         364999
    5         370887
    9         370899
    7         372571
   20         373858
   13         374822
    2         384190
   16         385110
   18         388909
Configuration Load
    9         326807
   10         334132
    1         337081
    3         337867
   18         342273
   12         342320
   19         344561
   14         345117
    2         345585
    5         345907
   13         345999
    6         346453
    8         348272
   20         350317
    4         350415
    7         350818
   15         352224
   17         353085
   11         358381
   16         369107
