Configuration Load
    6         345556
   10         358657
   12         363631
   16         366929
   13         367544
    9         368016
   20         369525
   11         372412
    1         372909
    3         373572
    4         377338
   19         378339
    5         378907
   18         379294
    7         380211
   15         380878
   14         381205
    8         382824
   17         384509
    2         391499
Configuration Load
    5         343748
   13         351882
    3         351981
   16         352004
    6         356775
   12         357399
   15         357604
   11         358171
    2         360470
   14         362548
   17         365016
   20         365985
    4         373028
   18         373672
    1         374109
   19         375232
    9         375363
   10         377902
    8         382801
    7         387966
Configuration Load
   19         326216
    3         329997
   15         334686
    7         339870
   20         343943
    9         345120
   11         346663
    2         348087
   18         348279
   10         351662
   16         353889
    1         355790
    4         356345
    6         358527
   13         359259
   14         359593
   12         360972
   17         363337
    5         366494
    8         369069
Configuration Load
   18         326876
    6         333046
    3         336362
    1         338365
    9         338999
    2         342363
    5         342957
    7         343507
   19         344274
   13         345700
   10         348810
   16         349442
    8         349615
   14         349864
   12         350893
   17         353642
   11         358352
   15         359358
    4         363571
   20         375618
Configuration Load
    1         344079
    4         350170
    2         359764
    3         365031
Configuration Load
   15         327227
   13         336192
    5         336767
    1         340764
   16         340908
   18         343660
   14         344945
    8         346198
   12         346464
   11         347725
   17         347886
    2         349645
   20         350497
    6         350636
    9         356066
    4         358288
   10         359711
    7         363261
    3         364416
   19         366643
Configuration Load
   20         345323
   19         356304
   17         358815
   11         359213
    2         359387
   10         360656
    4         362841
   14         363599
    8         368866
   16         369524
   15         369722
   12         371196
    3         371297
   13         371310
    7         373208
    9         376083
    1         377805
   18         379267
    5         383296
    6         384063
Configuration Load
    8         343917
    1         359837
    2         360212
   20         361482
   16         361634
   12         362261
   18         362326
   11         365337
    6         365890
    4         369411
    3         369601
    9         371666
    5         372367
   17         373504
   15         378873
   10         379067
   14         381614
   13         382312
    7         385129
   19         388895
Configuration Load
    8         370055
    6         374346
    4         376385
   11         376982
   14         377724
    2         379993
   15         380839
    1         380997
   16         381403
   13         382243
   12         382244
   19         384023
   17         385261
   10         385568
   18         388500
   20         388759
    9         390390
    7         392592
    5         395341
    3         412521
Configuration Load
   19         336628
   10         338648
    6         343729
   17         343828
    8         343868
   20         344627
   12         345250
   13         349309
   15         351969
   14         353006
   18         353119
   16         353326
   11         354476
    2         355490
    7         357389
    3         358271
    4         359004
    5         369705
    1         376513
    9         378670
